Row Labels,study,av_est_price,av_se_price,inverse_se_price
108,Lavin et al. (2017),-0.509666667,0.014166667,70.58823363
109,Lopez-Mayan (2010),-0.065,0.033163225,30.1538828
110,Ma et al. (2014),-0.141666667,0.015066667,66.37167995
111,Madhoo (2011),-0.093266667,0.043844358,22.80795171
112,Mieno and Braden (2011),-0.21615,0.175684302,5.692028193
113,Mimi and Smith (2000),-0.7096252,0.0844792,11.83723331
114,Miyawaki et al. (2011),-0.1405,0.056688775,17.64017656
115,Mylopoulos et al. (2004),-0.777,0.011012294,90.80760103
116,Nauges and Berg (2009),0.05085,0.09905,10.09591116
117,Olmstead (2009),0.229333333,0.094266667,10.60820364
118,Polebitski and Palmer (2010),-0.337611111,0.172250567,5.805496129
119,Reynaud (2016),-0.2575,0.138390988,7.225904045
120,Reynaud et al. (2018),-0.75475,0.061441,16.27577676
121,Rinaudo and Neverre (2012),-0.18,0.0688474,14.52487676
122,Martinez-Espineira (2005),-0.296,0.14293475,6.996199315
123,Rizaiza (1991),-0.5175,0.067886276,14.73051784
124,Romano et al. (2014),-0.2442117,0.04455545,22.44394345
125,Rujis et al. (2008),-0.45341565,0.1464981,6.826027095
126,Salman et al. (2008),0.004225,0.011727926,85.26656802
127,Sebri (2013),-0.678914875,0.030038475,33.29063809
128,Statzu and Strazzera (2009),-0.1438,0.019294632,51.82788664
129,Tabieh et al. (2012),-0.459833333,0.127830484,7.822860156
130,Tastan (2018),-0.046333333,0.197833333,5.054759907
131,Acharya and Barbier (2002),-0.07,0.024737819,40.42393551
132,Wichman (2014),-0.7012,0.2804,3.566333809
133,Nieswiadomy and Molina (1988),0.311728049,0.264116633,3.786206074
134,David and Inocencio (1998),-0.485375,0.210008228,4.761718193
135,Crane (1994),-0.54,0.203,4.926108374
136,Hansen (1996),-0.038,0.0375,26.66666667
137,Woo (1994),-0.45447615,0.11268395,8.874378294
138,Ayadi et al. (2002),-0.231071429,0.041253112,24.24059547
139,Domene and Sauri (2006),0.415533768,0.387517216,2.580530512
140,Garcia-Valinas (2005),-0.505,0.1065,9.389671362
141,Hussain et al. (2002),-0.175,0.0508689,19.65837673
142,Malla and Gopalakrishnan (1997),-0.1272,0.079693878,12.54801529
143,Jansen and Schulz (2006),-0.488,0.180374,5.54403628
144,Barkatullah (1996),0.02,0.033287388,30.04140787
145,Kostas and Chrysostomos (2006),-0.1,0.026455,37.8000378
146,Martins and Fortunato (2007),-0.5585996,0.0881072,11.34981023
147,Strand and Walker (2005),-0.192947525,0.07882581,12.68620012
148,Diakite et al. (2009),-0.681377833,0.109150453,9.161666054
149,Garcia-Valinas et al. (2010),-0.06,0.032964,30.33612426
150,Musolesi and Nosvelli (2011),-0.05325,0.039,25.64102564
151,Bachrach and Vaughan (1994),-0.167142857,0.051584343,19.38572718
152,Corral and Fisher (1999),-0.16130625,0.111795796,8.944880181
153,Goodman (1999),-0.751776,0.098686183,10.1331308
154,Agthe and Billings (2002),-0.53,0.32122205,3.11311132
155,Monteiro (2010),-0.09663756,0.027980498,35.73917805
156,Al Qunaibet and Johnston  (1985),-0.83938105,0.24039185,4.159874804
157,Asci and Borisova (2014),-0.265255592,0.077585781,12.88895964
158,Carter and Milon (2005),-1.2055,0.079575,12.56676092
159,Cheesman et al. (2008),-0.1755,0.04875,20.51282051
160,Horn (2011),-0.275,0.15,6.666666667
161,Monterio and Roseta-Palma (2011),-0.122755,0.0366297,27.30025089
162,Sewell and Roueche (1974),-0.309291667,0.157801871,6.337060478
163,Dharmaratna and Parasnis (2011),-0.249833333,0.106716667,9.370607498
164,Dahan and Nisan (2007),0.406774357,0.123393259,8.104170423
165,Hoyos and Artable (2017),-0.528166667,0.210146259,4.75859054
166,Khan (2014),-1.94,0.123,8.130081301
167,Hung and Chie (2017),-0.095777778,0.035167609,28.435257
168,Hortova (2013),-0.451236758,0.088092183,11.35174502
169,Hala (2017),-0.255,0.130102041,7.686274499
170,Campbell et al. (2004),-0.271,0.022,45.45454545
171,Fercovic et al. (2019),-0.1509225,0.05856892,17.07390199
172,Jiang et al.(2019),-0.2169,0.20913074,4.781697803
173,Maas et al.(2019),-0.6895,0.0056,178.5714286
174,Schleich and Hillenbrand (2019),-0.085642183,0.046309882,21.59366331
175,Zaied et al.(2019),-0.54025,0.109365673,9.14363687
176,Xayavong et al. (2008),-1.079,0.418558553,2.38915199
